name,category,price,quantity
Atlas Hammer Pro,Hand Tools,24.99,18
Nova Drill 18V,Power Tools,149.0,9
Precision Screw Set,Fasteners,17.5,42
AquaFlow Pipe Kit,Plumbing,68.75,14
VoltGuard Multimeter,Electrical,89.99,11
ShieldSafe Gloves,Safety,12.25,60
EarthTone Paint Duo,Paint,33.4,25
BondFlex Adhesive,Adhesives,21.6,30
IronClad Brackets,Hardware,15.85,55
GreenLeaf Pruner,Garden,44.2,16
Steel Tape Measure,Measuring Tools,8.99,75
Digital Caliper,Measuring Tools,29.95,22
Angle Grinder,Power Tools,79.5,8
Circular Saw,Power Tools,120.0,6
Jigsaw,Power Tools,65.25,12
Impact Driver,Power Tools,89.99,15
Socket Set,Hand Tools,45.3,28
Wrench Set,Hand Tools,32.75,35
Pliers Set,Hand Tools,28.5,40
Screwdriver Kit,Hand Tools,19.99,50
PVC Pipe 1/2",Plumbing,4.25,200
PVC Pipe 3/4",Plumbing,5.75,180
PVC Pipe 1",Plumbing,7.25,150
Copper Pipe 1/2",Plumbing,12.5,80
Copper Pipe 3/4",Plumbing,15.75,70
Pipe Cutter,Plumbing,18.99,25
Pipe Wrench,Plumbing,24.5,30
Teflon Tape,Plumbing,2.99,300
Pipe Fittings Kit,Plumbing,22.4,45
Wire Stripper,Electrical,14.75,65
Crimping Tool,Electrical,19.25,40
Voltage Tester,Electrical,11.99,85
Circuit Breaker,Electrical,8.5,120
Electrical Tape,Electrical,3.25,400
Wire Nuts,Electrical,5.99,250
LED Bulbs,Electrical,4.5,500
Extension Cord,Electrical,15.25,90
Safety Glasses,Safety,6.99,200
Hard Hat,Safety,18.5,75
Ear Protection,Safety,12.25,110
Respirator Mask,Safety,8.75,180
Safety Vest,Safety,14.99,95
Work Gloves,Safety,9.5,300
Fire Extinguisher,Safety,35.0,40
First Aid Kit,Safety,24.99,35
Latex Paint White,Paint,25.5,60
Latex Paint Beige,Paint,26.25,55
Latex Paint Gray,Paint,26.75,50
Oil Paint Black,Paint,18.99,70
Oil Paint White,Paint,19.5,65
Paint Brushes Set,Paint,22.4,80
Paint Roller Kit,Paint,15.75,120
