name,category,price,quantity
ProFix Compact Pliers 12mm,Tools,120.78,19
Voltix Compact Work Gloves,Safety,19.89,127
MasterCraft Multi-Purpose Pruning Shears,Garden,12.77,20
BrightBuild Stainless Dust Mask,Safety,34.4,66
ProFix Premium Hinge,Hardware,16.12,76
ToolMight Precision Sprayer,Garden,84.73,27
HardPro Quick-Fit Zip Ties Pack,Consumables,15.41,468
AquaFlow Stainless Silicone Sealant (ml),Paint & Adhesives,32.07,44
ProFix Galvanized Dust Mask,Safety,5.5,131
SecureHold Compact Sprayer,Garden,50.2,4
AquaFlow Premium Nails Pack 10mm,Consumables,15.74,421
SureGrip Premium Work Gloves 1/4inch,Safety,41.84,147
SecureHold Multi-Purpose Safety Glasses 20mm,Safety,2.77,114
HardPro Premium Ear Protection,Safety,48.51,58
IronWorks Heavy-Duty Silicone Sealant (ml),Paint & Adhesives,26.68,11
SureGrip Galvanized Tap Washer 300mm,Plumbing,60.68,63
MasterCraft Heavy-Duty Lockset,Hardware,30.82,43
AquaFlow Heavy-Duty Zip Ties Pack,Consumables,22.14,278
ToolMight Heavy-Duty Work Gloves,Safety,56.77,186
AquaFlow Heavy-Duty Socket Outlet,Electrical,31.44,62
SecureHold Premium Nails Pack,Consumables,8.75,75
ProFix Eco Impact Driver 1/2inch,Power Tools,147.02,23
BrightBuild Heavy-Duty Pruning Shears,Garden,153.61,15
ProFix Multi-Purpose Interior Paint (L),Paint & Adhesives,53.19,18
AquaFlow Compact Epoxy (ml),Paint & Adhesives,51.82,41
IronWorks Multi-Purpose Silicone Sealant (ml),Paint & Adhesives,37.98,45
IronWorks Compact Pliers,Tools,10.83,14
MasterCraft Multi-Purpose Bolt 250mm,Fasteners,7.75,179
AquaFlow Eco Impact Driver,Power Tools,258.19,12
MasterCraft Stainless Garden Fork 16mm,Garden,92.26,51
SureGrip Eco Sandpaper Pack,Consumables,7.85,219
SureGrip Stainless Lockset,Hardware,8.24,63
BrightBuild Multi-Purpose Cabinet Knob,Hardware,92.03,36
ProFix Precision Ball Valve 1/2inch,Plumbing,84.68,18
ProFix Compact Cable Clips Pack,Consumables,30.54,197
SureGrip Industrial Pruning Shears,Garden,73.41,20
AquaFlow Eco Cable Clips Pack,Consumables,8.46,455
SecureHold Eco Door Handle,Hardware,38.53,65
HardPro Heavy-Duty Work Gloves 1/4inch,Safety,20.67,40
BrightBuild Galvanized Tap Washer,Plumbing,27.13,43
AquaFlow Stainless Nut 10mm,Fasteners,7.46,172
MasterCraft Multi-Purpose Chisel 10mm,Tools,102.23,33
